,epsilon,p,length,size
4293,1.0,0.55,4.49,0.97925
4292,1.0,0.575,4.43,0.9893
4291,1.0,0.6,4.22,0.9895499999999999
4290,1.0,0.625,4.13,0.9793999999999999
4289,1.0,0.65,3.89,0.9893500000000001
4288,1.0,0.675,3.98,0.98965
4287,1.0,0.7,3.86,0.9798
4286,1.0,0.725,3.72,0.9996
4285,1.0,0.75,3.69,0.9995500000000002
4284,1.0,0.775,3.65,0.99965
4283,1.0,0.8,3.54,0.9997499999999999
4282,1.0,0.825,3.47,0.9995
4281,1.0,0.85,3.45,0.98985
4280,1.0,0.875,3.33,0.99965
4279,1.0,0.9,3.36,0.9998999999999999
4278,1.0,0.925,3.28,0.9997
4277,1.0,0.95,3.17,0.9997499999999999
4276,1.0,0.975,3.25,0.9997
4275,1.0,1.0,3.15,0.9994
4274,1.2,0.0,1.0,0.004999999999999999
4273,1.2,0.005,1.08,0.005449999999999999
4272,1.2,0.01,1.09,0.005449999999999999
4271,1.2,0.015,1.16,0.0059
4270,1.2,0.02,1.16,0.005850000000000001
4269,1.2,0.025,1.83,0.017599999999999998
4268,1.2,0.03,1.71,0.017249999999999995
4267,1.2,0.035,2.25,0.036449999999999996
4266,1.2,0.04,2.96,0.06409999999999996
4265,1.2,0.045,3.52,0.08460000000000001
4264,1.2,0.05,2.29,0.046199999999999984
4263,1.2,0.055,6.06,0.19459999999999994
4262,1.2,0.06,4.78,0.1635999999999999
4261,1.2,0.065,4.92,0.1929999999999999
4260,1.2,0.07,6.04,0.2602499999999999
4259,1.2,0.075,5.79,0.2518499999999999
4258,1.2,0.08,6.89,0.3299000000000001
4257,1.2,0.085,7.52,0.3882000000000001
4256,1.2,0.09,5.76,0.30115
4255,1.2,0.095,8.1,0.4582500000000001
4254,1.2,0.1,8.09,0.47824999999999995
4253,1.2,0.125,7.71,0.5389499999999999
4252,1.2,0.15,7.87,0.65765
4251,1.2,0.175,8.41,0.78705
4250,1.2,0.2,7.64,0.78735
4249,1.2,0.225,7.96,0.87845
4248,1.2,0.25,6.88,0.8478999999999999
4247,1.2,0.275,6.66,0.89875
4246,1.2,0.3,6.19,0.8789999999999999
4245,1.2,0.325,6.08,0.91845
4244,1.2,0.35,6.11,0.94865
4243,1.2,0.375,5.7,0.9587
4242,1.2,0.4,5.6,0.9793000000000001
4241,1.2,0.425,5.12,0.9290999999999999
4240,1.2,0.45,4.97,0.95915
4239,1.2,0.475,4.88,0.9695000000000001
4238,1.2,0.5,4.89,0.9893000000000001
4237,1.2,0.525,4.61,0.9694499999999999
4236,1.2,0.55,4.46,0.9793000000000001
4235,1.2,0.575,4.39,0.9791500000000001
4234,1.2,0.6,4.22,0.96965
4233,1.2,0.625,4.11,0.9894999999999999
4232,1.2,0.65,4.09,0.9996
4231,1.2,0.675,3.97,0.9995500000000002
4230,1.2,0.7,3.98,0.9996
4229,1.2,0.725,3.72,0.9996
4228,1.2,0.75,3.56,0.9995499999999999
4227,1.2,0.775,3.63,0.9997
4226,1.2,0.8,3.68,0.9997
4225,1.2,0.825,3.48,0.9997
4224,1.2,0.85,3.48,0.9996
4223,1.2,0.875,3.29,0.99985
4222,1.2,0.9,3.38,0.99965
4221,1.2,0.925,3.24,0.9997500000000001
4220,1.2,0.95,3.21,0.99965
4219,1.2,0.975,3.2,0.9997499999999999
4218,1.2,1.0,3.1,0.9997
4217,1.4,0.0,1.0,0.004999999999999999
4216,1.4,0.005,1.05,0.00525
4215,1.4,0.01,1.12,0.005600000000000001
4214,1.4,0.015,1.17,0.006000000000000001
4213,1.4,0.02,1.37,0.0075000000000000015
4212,1.4,0.025,1.29,0.006750000000000001
4211,1.4,0.03,1.54,0.015549999999999998
4210,1.4,0.035,2.9,0.05519999999999998
4209,1.4,0.04,3.65,0.0833
4208,1.4,0.045,2.5,0.046499999999999986
4207,1.4,0.05,3.66,0.10359999999999997
4206,1.4,0.055,4.83,0.15239999999999998
4205,1.4,0.06,6.62,0.2603499999999999
4204,1.4,0.065,5.88,0.22189999999999993
4203,1.4,0.07,7.11,0.3097
4202,1.4,0.075,6.55,0.29184999999999994
4201,1.4,0.08,6.32,0.30984999999999996
4200,1.4,0.085,7.07,0.36834999999999996
4199,1.4,0.09,7.25,0.38934999999999986
4198,1.4,0.095,7.06,0.3909499999999999
4197,1.4,0.1,7.95,0.46919999999999995
4196,1.4,0.125,8.55,0.61695
4195,1.4,0.15,6.96,0.55945
4194,1.4,0.175,8.67,0.8071
4193,1.4,0.2,7.5,0.768
4192,1.4,0.225,7.71,0.8776999999999999
4191,1.4,0.25,6.63,0.7992999999999999
4190,1.4,0.275,6.28,0.8580000000000001
4189,1.4,0.3,6.71,0.94865
4188,1.4,0.325,6.31,0.9680500000000001
4187,1.4,0.35,5.89,0.9289999999999998
4186,1.4,0.375,5.67,0.92875
4185,1.4,0.4,5.46,0.9591500000000001
4184,1.4,0.425,5.2,0.93935
4183,1.4,0.45,5.24,0.98925
4182,1.4,0.475,4.78,0.9596000000000001
4181,1.4,0.5,4.9,0.9693999999999999
4180,1.4,0.525,4.76,0.9895500000000002
4179,1.4,0.55,4.55,0.9692000000000001
4178,1.4,0.575,4.32,0.97945
4177,1.4,0.6,4.24,0.9893500000000001
4176,1.4,0.625,4.02,0.9994
4175,1.4,0.65,3.98,0.9797500000000001
4174,1.4,0.675,3.82,0.9895
4173,1.4,0.7,3.83,0.9996
4172,1.4,0.725,3.66,0.99945
4171,1.4,0.75,3.78,0.9995499999999999
4170,1.4,0.775,3.59,0.9996
4169,1.4,0.8,3.56,0.99965
4168,1.4,0.825,3.56,0.9995500000000002
4167,1.4,0.85,3.39,0.98965
4166,1.4,0.875,3.43,0.99965
4165,1.4,0.9,3.33,0.99965
4164,1.4,0.925,3.28,0.99965
4163,1.4,0.95,3.16,0.9997499999999999
4162,1.4,0.975,3.1,0.9997500000000001
4161,1.4,1.0,3.14,0.9993000000000001
4160,1.6,0.0,1.0,0.004999999999999999
4159,1.6,0.005,1.01,0.005049999999999999
