,p,q,length,size
476,0.0825,0.7,1.5,0.000688
475,0.0825,0.8,1.74,0.0008640000000000001
474,0.0825,0.9,1.42,0.0006160000000000001
473,0.0825,1.0,2.12,0.001288
472,0.085,0.0,1.42,0.00064
471,0.085,0.1,1.68,0.0007840000000000001
470,0.085,0.2,1.84,0.00104
469,0.085,0.3,1.38,0.00064
468,0.085,0.4,1.46,0.000664
467,0.085,0.5,1.66,0.0007599999999999999
466,0.085,0.6,1.48,0.000712
465,0.085,0.7,1.48,0.0006799999999999999
464,0.085,0.8,1.4,0.0006079999999999999
463,0.085,0.9,1.5,0.0006480000000000001
462,0.085,1.0,1.8,0.0009519999999999998
461,0.0875,0.0,1.54,0.000672
460,0.0875,0.1,1.52,0.000688
459,0.0875,0.2,1.4,0.000576
458,0.0875,0.3,1.74,0.0007759999999999999
457,0.0875,0.4,1.58,0.000688
456,0.0875,0.5,2.06,0.00112
455,0.0875,0.6,1.36,0.0005760000000000001
454,0.0875,0.7,1.32,0.0005760000000000001
453,0.0875,0.8,1.32,0.0005760000000000001
452,0.0875,0.9,2.0,0.001008
451,0.0875,1.0,1.76,0.0008479999999999999
450,0.09,0.0,1.58,0.0008479999999999999
449,0.09,0.1,1.84,0.0008560000000000001
448,0.09,0.2,1.42,0.0006000000000000001
447,0.09,0.3,1.64,0.0007520000000000001
446,0.09,0.4,1.7,0.001
445,0.09,0.5,1.42,0.0006479999999999999
444,0.09,0.6,1.32,0.0005840000000000001
443,0.09,0.7,1.96,0.0010959999999999998
442,0.09,0.8,1.72,0.0008
441,0.09,0.9,1.42,0.0005840000000000001
440,0.09,1.0,1.32,0.0005840000000000001
439,0.0925,0.0,1.9,0.001008
438,0.0925,0.1,2.72,0.001616
437,0.0925,0.2,1.96,0.0009359999999999999
436,0.0925,0.3,1.9,0.0013359999999999997
435,0.0925,0.4,1.44,0.0006880000000000001
434,0.0925,0.5,2.18,0.001392
433,0.0925,0.6,2.16,0.0012719999999999997
432,0.0925,0.7,1.32,0.0005840000000000001
431,0.0925,0.8,1.78,0.000848
430,0.0925,0.9,1.56,0.000696
429,0.0925,1.0,1.62,0.0007199999999999999
428,0.095,0.0,1.34,0.000608
427,0.095,0.1,2.16,0.001264
426,0.095,0.2,1.76,0.0008560000000000001
425,0.095,0.3,1.58,0.0007679999999999999
424,0.095,0.4,1.94,0.0009599999999999999
423,0.095,0.5,2.1,0.0014000000000000002
422,0.095,0.6,1.58,0.0007199999999999999
421,0.095,0.7,1.56,0.0007199999999999999
420,0.095,0.8,1.98,0.001064
419,0.095,0.9,1.42,0.000664
418,0.095,1.0,2.3,0.001536
417,0.0975,0.0,2.04,0.0012079999999999999
416,0.0975,0.1,1.88,0.001024
415,0.0975,0.2,2.16,0.0013840000000000002
414,0.0975,0.3,2.02,0.001056
413,0.0975,0.4,2.22,0.0013040000000000003
412,0.0975,0.5,2.22,0.0014479999999999999
411,0.0975,0.6,1.34,0.000608
410,0.0975,0.7,1.9,0.0010800000000000002
409,0.0975,0.8,2.0,0.001032
408,0.0975,0.9,1.52,0.000728
407,0.0975,1.0,1.36,0.0005600000000000001
406,0.1,0.0,1.56,0.0007279999999999999
405,0.1,0.1,1.2,0.000544
404,0.1,0.2,1.6,0.0007039999999999999
403,0.1,0.3,1.36,0.0005920000000000001
402,0.1,0.4,1.4,0.000584
401,0.1,0.5,2.5,0.002136
400,0.1,0.6,1.88,0.0013359999999999997
399,0.1,0.7,3.46,0.002928
398,0.1,0.8,1.5,0.000664
397,0.1,0.9,2.76,0.001768
396,0.1,1.0,1.58,0.0007199999999999998
395,0.125,0.0,2.38,0.0017360000000000001
394,0.125,0.1,1.82,0.001352
393,0.125,0.2,3.02,0.0025439999999999994
392,0.125,0.3,3.14,0.002904
391,0.125,0.4,2.98,0.002664
390,0.125,0.5,2.04,0.001072
389,0.125,0.6,2.76,0.0021439999999999996
388,0.125,0.7,3.28,0.002736
387,0.125,0.8,2.06,0.0013599999999999999
386,0.125,0.9,2.26,0.001568
385,0.125,1.0,2.18,0.001384
384,0.15,0.0,5.26,0.005888000000000001
383,0.15,0.1,7.12,0.007832
382,0.15,0.2,3.44,0.0034
381,0.15,0.3,5.22,0.005208000000000001
380,0.15,0.4,4.36,0.004416000000000001
379,0.15,0.5,4.26,0.004399999999999999
378,0.15,0.6,3.06,0.002944
377,0.15,0.7,3.76,0.003544
376,0.15,0.8,3.54,0.003584
375,0.15,0.9,4.16,0.004096
374,0.15,1.0,5.42,0.00592
373,0.175,0.0,6.12,0.00768
372,0.175,0.1,4.72,0.005928000000000001
371,0.175,0.2,4.92,0.005816
370,0.175,0.3,5.94,0.007056
369,0.175,0.4,5.18,0.006264
368,0.175,0.5,5.76,0.007064
367,0.175,0.6,5.88,0.00752
